,network,id,createdAt,voter,outcome,reputation,dao,proposal
0,mainnet,0x000682a038b22925343bd5b9e84acb424a9d148843261372dc83514589bfdc3b,1678762043,0x91628ddc3a6ff9b48a2f34fc315d243eb07a9501,Pass,90248500000000000000000,0x519b70055af55a007110b4ff99b0ea33071c720a,0xb2a2b6baeed346c4e49a241044bd547504d02a3b593a2951604ac9d154feef0a
1,mainnet,0x001cde4d98e26191fc34308be3b51ce50d3eb9561b1b01b768722bf9abe04457,1653185389,0xabd238fa6b6042438fbd22e7d398199080b4224c,Pass,68359641109260095429647,0x519b70055af55a007110b4ff99b0ea33071c720a,0x53c9666338692a720a3ee3841b49f58a4d580cf7ed11acb2d43a484c8d09bc88
2,mainnet,0x001e7617a24d4e379669db1b4be94aa5cdc1b735d492535dd7a15723aed680c5,1564737938,0x13a0b42b9c180065510615972858bf41d1972a55,Pass,372846309003008579630,0x519b70055af55a007110b4ff99b0ea33071c720a,0xb804dbb6ba463b704c5be53c3be122e0f9fd72ebd1d952eb51e74db99a2d7f78
3,mainnet,0x00202af217d5d4f46006ee508af4d4a8e40fa0c58ea09161ac7658f91278bad2,1578641505,0xba527d8301178a03a6993ab5a08cab06b975d5ae,Pass,159178674775209859978,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x576035e158f1b82d6ac8c0022f577ca39dfc8f0d7c92f6037d9dcebcfc0c7d69
4,mainnet,0x00230b335032c2f363d717da48d79d7574b1712580e011b59a88337c9627c770,1582800315,0xfc898b18a70ce49579f8d79a32e29928c15b4bc8,Fail,1957062589266673407556,0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7,0xca3e2d80a89548ede61675882eed5c124e100d7f6bc2020f1ffae94414622af4
5,mainnet,0x002ba58c240694ff4e62b13e54bcffd8f667c8e1b4ed8d5ea60bc5e8f3349b85,1561048648,0x77488ed6c9448e1a5dbe6772d6d31db85108a53e,Pass,9600000000000000000000,0x440583455bcd85ab2bd429c015d3aabcae135f0a,0x4717041dea594b7a52d50314f588f5d422a72423e1eaccd4a5abd6c9220f7fbc
6,mainnet,0x00381ed69d9ff204ba5e16eb71e615ec8cff3ac05b664a1b4d0ced91ddf2ad9c,1556053393,0x144c4e5027b69f7798b2b162d924bcae5c149f15,Pass,463309683425280000000,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0xee1d116e5dadc21ec9aef3dd171260e5a219ec2c26834ca6ad368c6ee992c344
7,mainnet,0x003b53eeeb314ab7fa42f88f8630d7fd6ea17184c1f05a68abba789c881b9119,1598616754,0xb0e83c2d71a991017e0116d58c5765abc57384af,Pass,18016183440825327276060,0x519b70055af55a007110b4ff99b0ea33071c720a,0xdd9f7b1cbd148a266c6a6edbcf271ea0248bfa7f98748022c2a5bc148d6bc739
8,mainnet,0x003e74b43ea9d833d524b82c47c4e1b2b02f84506bd233382840a5f63add4e3d,1679843807,0x91628ddc3a6ff9b48a2f34fc315d243eb07a9501,Pass,90248500000000000000000,0x519b70055af55a007110b4ff99b0ea33071c720a,0x2f701be3fbd3e7e706f1aac4d36839c18a56a52e45e59083cb240c8c53784490
9,mainnet,0x00408d07ef8ea2f16f1b4eb0b76566e040ff85511826641ab7eba90793d65e39,1563853496,0xd8f515dad06a9f5b2cc761e5a108aa3eeb70c2b9,Pass,247725910708573288915,0x519b70055af55a007110b4ff99b0ea33071c720a,0xae9a111f0089cf0b80ad77c38ea37bc8f77805011f54685506bf9aa591e8c42f
10,mainnet,0x004874c803b4647540b61324c4af64f1aee2caa8edb3fb445acf0af42d26f3d4,1579709306,0x24597c5c68687e816ffc0c69e064cb70bb62a9cd,Pass,851981327419822454866,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0xb967781a8fbde196875d542ad223ff5b187740aac07db9212228c534256db96a
11,mainnet,0x00512b2485e01eb861a87c36b3622a241429180c419594e7ae698480a1cc15d0,1579516817,0x9a94ac82b17e67f7dff81912de68eb74ca20e6c3,Pass,470837089800000000000,0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,0x3cbf60d1efd34bd1a78d0c8f0543fc26183b71e65508907889f3c2a2bfa97420
12,mainnet,0x0057ad41e781a0acd4e7a06be5cea9dc3fcd5fc259ff409b8ed4c504e01cfd8a,1670012027,0x8e900cf9bd655e34bb610f0ef365d8d476fd7337,Pass,86679381514995439609053,0x519b70055af55a007110b4ff99b0ea33071c720a,0xb7ff31ec2bcdb8a254b8a1b06c6d2080a4089135b03ed55e684fd41b5176d946
13,mainnet,0x00623f1e4fa0db5747f4bfec3d6d31086cb468f7e83b22f87ce30d717f3adf79,1561548907,0x30043aabbcebbd887437ec4f0cfe6d4c0eb5cc64,Pass,92000000000000000000,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0xbeaac61eaa55ac0090467ef77872accebecdd16bbcbe6ff6236f687655e0e765
14,mainnet,0x0089f404ad05937e147de8f8278ad92ac28f102d3648fd64e73d8403552614f7,1584643216,0x436ab15705e0ed23284512770748770ee4c16155,Pass,75472680297885759885427,0x519b70055af55a007110b4ff99b0ea33071c720a,0xd2993fd880745ccb4c4d8ea5fdc79f58adcb776171111465ff9f1ad89b8d4889
15,mainnet,0x008fbdb313a3e5a17f79eb6cc8873d4386d8635efde2713662d0b15314f3af46,1569953858,0xcaa9c1251dfdad81f4175edbd09ba9d9131aca77,Fail,334988868088734939889,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x55666570f2f14fb653e9ec81638c4be2ed7e4ea98083c747f514d61e7967804f
16,mainnet,0x009680a372ddaf541c63c5af5a4d8ae2e465028e3138a2cea0c02755b18736d5,1576070387,0xb1ba56fc6ed94d45ca47cc9e97df68f3df772d42,Pass,235417353740783373845,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x8db973326c5c75b0bfa6a1271610973fb6f7176640ef75085b7ca38ad9dbd69c
17,mainnet,0x00aabee090921e0a6987ea93e0ef23bfc2cf84bdbe16d4c276ade918b44e70fb,1558467518,0xb1ba56fc6ed94d45ca47cc9e97df68f3df772d42,Pass,259716000000000000000,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x9da21802ef6636402d793d907d5e7818dd14ea355e78361f69660d5c12015e32
18,mainnet,0x00af6011d48289b4b2689d7b65b97be99b1bb71e8a8f75db2b25e83d41f81dfd,1606447926,0xabd238fa6b6042438fbd22e7d398199080b4224c,Pass,23010291109260095429647,0x519b70055af55a007110b4ff99b0ea33071c720a,0x6c8e968389092e244b65631ed2c979e65ad5b61100b7c8c0de7e0d9c7052a28d
